Species,Seawater Concentration,Oxygen consumption,
Lottia scabra,100,7.2,
Lottia scabra,100,6.8,
Lottia scabra,100,13.6,
Lottia scabra,100,8.9,
Lottia scabra,100,8.3,
Lottia scabra,100,14,
Lottia scabra,100,16.1,
Lottia scabra,100,9.7,
Lottia scabra,50,11.1,
Lottia scabra,50,9.7,
Lottia scabra,50,18.8,
Lottia scabra,50,9.7,
Lottia scabra,50,10.5,
Lottia scabra,50,14.6,
Lottia scabra,50,11.2,
Lottia scabra,50,11.8,
Lottia digitalis,100,6.1,
Lottia digitalis,100,3.9,
Lottia digitalis,100,10.4,
Lottia digitalis,100,5.5,
Lottia digitalis,100,6.1,
Lottia digitalis,100,10,
Lottia digitalis,100,11.6,
Lottia digitalis,100,5.8,
Lottia digitalis,50,9.6,
Lottia digitalis,50,6.4,
Lottia digitalis,50,13.4,
Lottia digitalis,50,14.5,
Lottia digitalis,50,14.4,
Lottia digitalis,50,10.2,
Lottia digitalis,50,17.7,
Lottia digitalis,50,12.3,
